accident,total,clear,cloudy,rain,fog,snow,etc,unkown
acccount,165929,48751,2277,3574,157,490,27273,83407
death,1111,927,70,79,14,13,8,0
injuty,284009,79582,3813,6204,343,922,49579,143566
acccount,76672,25909,872,1738,51,216,11468,36418
death,355,309,14,23,4,4,1,0
injuty,126205,41566,1422,2785,123,371,19582,60356
acccount,26214,6983,383,496,30,56,4929,13337
death,188,162,13,11,2,0,0,0
injuty,45209,11637,619,876,68,130,9058,22821
acccount,14835,4043,399,439,11,56,2394,7493
death,83,58,11,8,2,2,2,0
injuty,24789,6849,703,790,31,119,4069,12228
acccount,1636,455,26,63,3,16,201,872
death,0,0,0,0,0,0,0,0
injuty,3085,829,46,156,5,24,405,1620
acccount,3224,740,56,54,6,10,565,1793
death,59,48,5,5,0,1,0,0
injuty,6258,1289,76,90,8,18,1228,3549
acccount,5500,1235,71,113,25,15,821,3220
death,50,40,3,3,3,1,0,0
injuty,9212,1915,152,204,30,17,1480,5414
acccount,3235,922,50,52,2,15,469,1725
death,53,47,4,2,0,0,0,0
injuty,5111,1381,68,84,6,27,820,2725
acccount,10684,2535,71,150,9,29,2143,5747
death,69,55,2,7,1,0,4,0
injuty,19820,4076,127,315,17,46,4385,10854
acccount,4744,1032,98,76,3,21,968,2546
death,69,56,6,3,0,3,1,0
injuty,9803,1774,191,185,3,38,2267,5345
acccount,12741,3242,146,234,13,37,2182,6887
death,120,104,8,6,2,0,0,0
injuty,23537,5587,235,423,46,88,4286,12872
acccount,2826,711,26,90,3,13,463,1520
death,46,33,3,8,0,2,0,0
injuty,5045,1185,37,188,5,34,854,2742
acccount,3618,944,79,69,1,6,670,1849
death,19,15,1,3,0,0,0,0
injuty,5935,1494,137,108,1,10,1145,3040
acccount,250054,52579,2749,3977,257,764,44987,144741
death,1783,1443,139,149,27,17,8,0
injuty,435743,81930,4250,6695,407,1362,85304,255795
acccount,92218,17971,910,1293,35,231,18062,53716
death,264,222,12,26,1,2,1,0
injuty,161010,28300,1377,2227,48,389,33745,94924
acccount,41313,6853,302,525,28,138,8764,24703
death,203,171,15,12,2,2,1,0
injuty,68734,10365,468,806,42,222,15616,41215
acccount,11152,2430,115,187,9,45,1893,6473
death,108,84,11,7,1,2,3,0
injuty,18873,3723,169,273,15,68,3589,11036
acccount,17875,3144,224,276,23,48,3285,10875
death,119,98,6,11,3,1,0,0
injuty,37646,5371,364,550,40,155,7835,23331
acccount,20154,4240,213,311,30,64,3060,12236
death,152,123,9,12,5,3,0,0
injuty,33902,6442,344,503,51,106,5770,20686
acccount,5148,967,68,115,9,14,855,3120
death,59,46,6,5,1,0,1,0
injuty,8751,1524,93,229,12,28,1607,5258
acccount,6246,1601,114,95,12,14,1019,3391
death,90,75,12,3,0,0,0,0
injuty,11409,2595,182,189,24,24,2030,6365
acccount,953,107,7,9,3,3,79,745
death,0,0,0,0,0,0,0,0
injuty,1642,177,14,19,4,3,153,1272
acccount,14719,2982,132,252,13,26,2566,8748
death,153,129,6,14,2,2,0,0
injuty,25907,4718,219,463,25,45,4869,15568
acccount,4714,1259,53,87,17,21,737,2540
death,97,76,9,9,3,0,0,0
injuty,7332,1699,56,121,19,38,1271,4128
acccount,5198,1744,65,110,16,37,635,2591
death,82,66,6,6,3,1,0,0
injuty,9211,2775,99,195,22,72,1256,4792
acccount,2683,955,42,66,6,16,318,1280
death,60,47,8,5,0,0,0,0
injuty,4462,1501,60,89,6,22,604,2180
acccount,9697,1946,142,150,18,22,1595,5824
death,106,86,9,10,1,0,0,0
injuty,16464,2873,216,204,30,44,3036,10061
acccount,8615,1953,164,169,18,32,1355,4924
death,116,81,10,17,4,4,0,0
injuty,14357,3051,252,294,37,50,2441,8232
acccount,6813,4053,186,285,19,50,223,1997
death,167,134,20,10,1,0,2,0
injuty,11588,6187,317,457,31,92,490,4014
acccount,2556,374,12,47,1,3,541,1578
death,7,5,0,2,0,0,0,0
injuty,4455,629,20,76,1,4,992,2733
acccount,209003,43851,2826,4062,184,734,37751,119595
death,1383,1129,119,106,9,17,3,0
injuty,346393,69375,4582,6903,303,1309,67146,196775
acccount,85006,15082,1160,1481,24,245,16815,50199
death,239,176,25,32,0,3,3,0
injuty,137789,24025,1869,2394,41,417,28797,80246
acccount,32338,7435,311,622,26,133,7152,16659
death,154,129,12,8,3,2,0,0
injuty,54312,11780,512,1017,45,223,12899,27836
acccount,12322,3142,289,345,12,62,1554,6918
death,111,84,14,9,0,4,0,0
injuty,20138,4943,472,609,18,124,2760,11212
acccount,6712,1662,77,163,5,23,1078,3704
death,103,92,4,7,0,0,0,0
injuty,10310,2371,126,259,5,42,1759,5748
acccount,10177,2566,141,223,21,42,1426,5758
death,124,106,7,7,2,2,0,0
injuty,17616,4161,246,368,43,64,2689,10045
acccount,11395,1834,113,154,12,27,2165,7090
death,110,92,11,5,1,1,0,0
injuty,20893,3007,165,247,21,61,4410,12982
acccount,1511,370,26,36,4,10,188,877
death,31,24,2,2,1,2,0,0
injuty,2510,606,37,69,3,27,321,1447
acccount,1943,511,38,44,0,13,286,1051
death,43,37,2,3,0,1,0,0
injuty,3584,872,75,126,0,31,569,1911
acccount,1336,314,17,33,7,9,205,751
death,32,30,1,0,1,0,0,0
injuty,2369,525,33,117,10,17,381,1286
acccount,2300,506,45,50,10,18,366,1305
death,41,36,2,2,1,0,0,0
injuty,4257,810,79,135,13,52,777,2391
acccount,1720,606,32,58,5,6,210,803
death,53,46,4,3,0,0,0,0
injuty,2751,865,46,98,8,8,401,1325
acccount,4769,875,100,88,9,23,744,2930
death,91,69,16,6,0,0,0,0
injuty,8291,1399,164,147,10,31,1446,5094
acccount,4811,1474,133,137,13,33,560,2461
death,76,58,13,5,0,0,0,0
injuty,8632,2534,234,247,22,56,1191,4348
acccount,32663,7474,344,628,36,90,5002,19089
death,175,150,6,17,0,2,0,0
injuty,52941,11477,524,1070,64,156,8746,30904
acccount,181869,52481,2306,5021,185,642,31310,89924
death,1758,1456,106,150,20,17,9,0
injuty,305573,85291,3802,8533,365,1175,56181,150226
acccount,33616,9131,430,749,9,163,6608,16526
death,91,74,10,6,0,1,0,0
injuty,57826,15328,738,1282,16,266,12065,28131
acccount,30698,8216,378,875,4,19,5467,15739
death,187,148,16,23,0,0,0,0
injuty,50568,12933,552,1345,9,27,9686,26016
acccount,29133,7757,239,770,8,45,6162,14152
death,161,137,8,14,2,0,0,0
injuty,47900,12158,400,1327,9,71,10640,23295
acccount,11179,3135,110,270,36,60,1694,5874
death,121,108,2,7,1,1,2,0
injuty,19349,5363,196,466,69,137,3082,10036
acccount,13507,3792,176,489,1,14,2677,6358
death,83,67,5,10,0,1,0,0
injuty,21841,6081,274,801,2,30,4624,10029
acccount,5216,1453,71,155,7,32,792,2706
death,83,67,6,8,0,0,2,0
injuty,9500,2488,115,317,15,68,1538,4959
acccount,2051,631,44,62,10,9,301,994
death,36,26,6,2,2,0,0,0
injuty,3628,1024,74,121,83,12,623,1691
acccount,1934,650,12,54,0,4,273,941
death,38,35,1,2,0,0,0,0
injuty,3280,994,18,98,0,9,549,1612
acccount,3638,1489,23,128,3,6,353,1636
death,84,74,1,8,0,1,0,0
injuty,5581,2291,34,197,5,13,594,2447
acccount,3055,1122,64,122,6,14,373,1354
death,78,65,5,8,0,0,0,0
injuty,5002,1783,104,198,12,25,649,2231
acccount,5133,1436,49,143,4,34,798,2669
death,56,50,0,4,0,1,1,0
injuty,8706,2500,91,253,10,77,1480,4295
acccount,2962,1209,55,114,10,13,292,1269
death,58,49,4,3,2,0,0,0
injuty,4517,1834,76,176,9,26,466,1930
acccount,2999,1225,86,133,7,27,302,1219
death,54,44,2,3,1,4,0,0
injuty,4943,2025,128,236,8,59,493,1994
acccount,5316,1797,131,162,11,35,774,2406
death,109,82,13,12,0,0,2,0
injuty,8722,2881,219,307,15,67,1306,3927
acccount,6664,2228,109,227,22,52,896,3130
death,103,84,4,12,2,1,0,0
injuty,11555,3941,257,400,38,88,1644,5187
acccount,7804,2003,82,156,15,39,1282,4227
death,100,84,5,6,4,1,0,0
injuty,14181,3232,129,325,19,87,2505,7884
acccount,2616,883,24,65,9,15,299,1321
death,50,44,3,0,0,3,0,0
injuty,4594,1518,33,134,16,24,560,2309
acccount,3912,1154,51,97,3,21,577,2009
death,70,58,3,7,2,0,0,0
injuty,6357,1805,83,148,1,39,1053,3228
acccount,4473,1270,38,104,7,29,691,2334
death,54,46,2,3,0,3,0,0
injuty,7948,2115,76,179,11,36,1394,4137
acccount,2524,873,46,60,3,4,274,1264
death,53,44,3,6,0,0,0,0
injuty,3926,1346,66,88,6,5,472,1943
acccount,1769,535,63,50,5,3,219,894
death,49,36,6,5,1,0,1,0
injuty,2808,842,100,67,8,5,362,1424
acccount,1670,492,25,36,5,4,206,902
death,40,34,1,1,3,0,1,0
injuty,2841,809,39,68,4,4,396,1521
acccount,298670,76012,2977,6881,207,403,61559,150631
death,2190,1846,113,199,19,7,6,0
injuty,479526,115153,4571,11007,374,622,104408,243391
acccount,59242,15192,522,1384,4,50,12075,30015
death,219,183,7,27,1,1,0,0
injuty,90862,23102,766,2115,4,80,19244,45551
acccount,34395,9204,312,1057,33,32,6995,16762
death,249,211,9,27,2,0,0,0
injuty,57024,14524,471,1805,72,48,12211,27893
acccount,11812,3242,79,257,7,17,2675,5535
death,110,95,3,8,1,0,3,0
injuty,18501,4615,135,393,9,32,4370,8947
acccount,18694,5335,153,399,22,33,3967,8785
death,164,139,7,15,3,0,0,0
injuty,29597,8068,280,651,37,55,6548,13958
acccount,54493,10595,462,1055,18,71,12369,29923
death,191,168,9,11,2,0,1,0
injuty,87792,15894,682,1714,20,101,20839,48542
acccount,9820,2997,130,249,5,18,1931,4490
death,58,46,3,7,1,1,0,0
injuty,14879,4238,214,390,16,29,3114,6878
